n,marca,modello,2022-03,n_ytd,marca_ytd,modello_ytd,2022-03_ytd
1,FIAT,PANDA,10209,1,FIAT,PANDA,29805
2,CITROEN,C3,4906,2,LANCIA,YPSILON,10767
3,LANCIA,YPSILON,3608,3,DACIA,SANDERO,9585
4,DACIA,SANDERO,3019,4,FORD,PUMA,9372
5,FORD,PUMA,2923,5,CITROEN,C3,8897
6,PEUGEOT,208,2864,6,DACIA,DUSTER,7742
7,TOYOTA,YARIS,2792,7,TOYOTA,YARIS,7290
8,DACIA,DUSTER,2763,8,FIAT,500X,7192
9,RENAULT,CAPTUR,2626,9,PEUGEOT,208,7054
10,JEEP,COMPASS,2371,10,JEEP,COMPASS,7049
11,VOLKSWAGEN,T-ROC,2207,11,RENAULT,CAPTUR,6676
12,JEEP,RENEGADE,2136,12,JEEP,RENEGADE,6668
13,FIAT,500X,2117,13,TOYOTA,YARIS CROSS,6628
14,OPEL,CORSA,2001,14,PEUGEOT,2008,5996
15,FORD,KUGA,1813,15,FIAT,500,5969
16,TOYOTA,YARIS CROSS,1795,16,FORD,KUGA,5584
17,CITROEN,C3 AIRCROSS,1748,17,RENAULT,CLIO,5524
18,FIAT,500,1657,18,PEUGEOT,3008,5186
19,PEUGEOT,2008,1651,19,VOLKSWAGEN,POLO,5028
20,RENAULT,CLIO,1526,20,OPEL,CORSA,4849
21,VOLKSWAGEN,T-CROSS,1443,21,CITROEN,C3 AIRCROSS,4453
22,PEUGEOT,3008,1356,22,VOLKSWAGEN,T-CROSS,4259
23,AUDI,Q3,1315,23,OPEL,MOKKA,3986
24,KIA,SPORTAGE,1187,24,BMW,X1,3778
25,KIA,PICANTO,1129,25,VOLKSWAGEN,T-ROC,3675
26,VOLKSWAGEN,POLO,1124,26,VOLKSWAGEN,GOLF,3437
27,VOLKSWAGEN,GOLF,1108,27,FORD,ECOSPORT,3362
28,TOYOTA,C-HR,1106,28,KIA,PICANTO,3114
29,OPEL,CROSSLAND X,1079,29,HYUNDAI,TUCSON,3095
30,AUDI,A3,1044,30,KIA,SPORTAGE,2883
31,FIAT,500L,1043,31,TOYOTA,C-HR,2749
32,NISSAN,QASHQAI,1042,32,OPEL,CROSSLAND X,2731
33,FORD,FOCUS,1018,33,VOLKSWAGEN,TIGUAN,2724
34,VOLKSWAGEN,TIGUAN,997,34,SUZUKI,IGNIS,2702
35,VOLKSWAGEN,TAIGO,978,35,AUDI,A3,2609
36,FORD,ECOSPORT,977,36,AUDI,Q3,2608
37,HYUNDAI,TUCSON,968,37,FORD,FOCUS,2561
38,BMW,X1,918,38,FORD,FIESTA,2484
39,OPEL,MOKKA,890,39,NISSAN,QASHQAI,2405
40,TOYOTA,RAV4,856,40,NISSAN,JUKE,2348
41,CUPRA,FORMENTOR,787,41,MINI,COUNTRYMAN,2339
42,NISSAN,MICRA,781,42,FIAT,TIPO,2282
43,MERCEDES,GLA,773,43,TOYOTA,RAV4,2201
44,ALFA ROMEO,STELVIO,738,44,MINI,MINI,2186
45,AUDI,Q2,727,45,FIAT,500L,2119
46,KIA,STONIC,719,46,MERCEDES,GLA,2071
47,SEAT,ARONA,717,47,HYUNDAI,I10,2017
48,AUDI,A1,709,48,VOLKSWAGEN,TAIGO,1984
49,HYUNDAI,KONA,699,49,SUZUKI,SWIFT,1971
50,MERCEDES,CLASSE A,698,50,KIA,STONIC,1958
